Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Vegetable Crops,Potato,2,48,0,0,50
Vegetable Crops,Cassava,4,7,0,2,13
Vegetable Crops,Sweet potato,23,7,0,0,30
Vegetable Crops,Greater yam,5,1,0,0,6
Vegetable Crops,White yam,3,0,0,0,3
Vegetable Crops,Lesser yam,3,0,0,0,3
Vegetable Crops,Elephant foot yam,6,1,0,0,7
Vegetable Crops,Colocasia (Taro),12,1,0,0,13
Vegetable Crops,Colocasia (Bunda),3,0,0,0,3
Vegetable Crops,Chinese potato,1,0,0,0,1
Vegetable Crops,Xanthosoma,1,0,0,0,1
Vegetable Crops,Coleus,1,0,0,0,1
Vegetable Crops,Yam bean,1,0,0,0,1
Vegetable Crops,Tomato,30,5,1,18,54
Vegetable Crops,Brinjal,38,10,0,11,59
Vegetable Crops,Chillies,28,1,1,7,37
Vegetable Crops,Sweet pepper,6,0,0,3,9
Vegetable Crops,Cauliflower,14,2,0,0,16
Vegetable Crops,Cabbage,2,0,0,6,8
Vegetable Crops,Broccoli,3,0,0,0,3
Vegetable Crops,Knol-khol,1,0,0,2,3
Vegetable Crops,Bitter gourd,9,1,1,1,12
Vegetable Crops,Pumpkin,9,0,0,1,10
Vegetable Crops,Squash,1,0,0,2,3
Vegetable Crops,Bottle gourd,12,5,0,1,18
Vegetable Crops,Musk melon,13,2,0,5,20
Vegetable Crops,Water melon,6,4,0,3,13
Vegetable Crops,Ash gourd,5,0,0,0,5
Vegetable Crops,Cucumber,8,0,0,2,10
Vegetable Crops,Long melon,2,0,0,0,2
Vegetable Crops,Round melon,1,0,0,0,1
Vegetable Crops,Pointed gourd,5,0,0,0,5
Vegetable Crops,Ivy gourd,5,0,0,0,5
Vegetable Crops,Ridge gourd,7,0,1,0,8
Vegetable Crops,Sponge gourd,8,0,0,0,8
Vegetable Crops,Round gourd,2,0,0,1,3
Vegetable Crops,Snake gourd,6,0,0,0,6
Vegetable Crops,Snap melon,3,0,0,0,3
Vegetable Crops,Onion,47,2,0,2,51
Vegetable Crops,Garlic,23,0,0,0,23
